frame_idx,timestamp_sec,track_id,shot_type,confidence,wrist_velocity,forearm_angle,wrist_x,wrist_y
1,0.04,3,forehand,0.55,47.21,147.45,360.1,738.3
1,0.04,4,backhand,0.55,9.44,-178.38,987.7,96.1
2,0.08,2,forehand,0.55,16.66,172.45,1313.8,632.0
5,0.2,1,forehand,0.55,12.76,176.31,728.6,204.1
17,0.68,2,backhand,0.894,15.43,-50.17,1353.9,661.9
17,0.68,3,backhand,0.88,21.14,-53.06,256.3,715.2
22,0.88,1,backhand,0.55,8.62,-174.78,710.6,186.1
33,1.32,2,backhand,0.76,8.83,-12.94,1415.0,625.7
37,1.48,1,forehand,0.55,10.67,163.23,704.9,176.3
49,1.96,2,backhand,0.55,43.1,-0.04,1398.5,646.6
52,2.08,1,forehand,0.55,13.98,174.27,740.9,211.2
64,2.56,2,forehand,0.83,32.83,63.08,1439.0,651.0
67,2.68,4,backhand,0.715,8.01,-86.04,1004.3,75.3
89,3.56,2,backhand,0.55,9.61,-170.2,1418.5,701.8
104,4.16,4,forehand,0.55,9.94,175.71,1025.1,43.2
117,4.68,2,forehand,0.55,14.73,171.11,1428.1,726.1
137,5.48,2,backhand,0.55,12.67,-175.19,1409.5,726.9
146,5.84,6,forehand,0.55,8.46,162.51,1022.0,121.6
154,6.16,2,backhand,0.55,12.3,-134.96,1416.2,710.3
167,6.68,1,forehand,0.55,8.08,148.68,802.8,188.8
174,6.96,6,smash,0.842,13.47,-32.57,1111.1,116.9
177,7.08,2,forehand,0.55,21.57,170.17,1379.8,647.0
182,7.28,1,forehand,0.55,9.91,174.35,783.8,168.6
192,7.68,2,backhand,0.55,17.34,-160.19,1341.1,568.9
208,8.32,1,backhand,0.55,8.62,-170.62,794.5,170.2
208,8.32,2,forehand,0.55,11.29,169.0,1275.6,527.7
209,8.36,8,forehand,0.572,41.79,114.6,790.3,589.6
223,8.92,1,smash,0.793,17.58,-39.52,850.8,165.4
223,8.92,2,smash,0.95,23.46,-25.57,1193.1,512.2
224,8.96,8,smash,0.912,28.06,-45.37,783.3,587.3
237,9.48,9,forehand,0.55,8.69,173.21,1232.6,178.6
238,9.52,2,backhand,0.66,21.17,-96.92,1085.9,352.3
239,9.56,1,forehand,0.55,11.82,151.11,867.1,121.8
239,9.56,8,forehand,0.819,9.39,65.22,698.4,509.8
252,10.08,9,backhand,0.55,17.23,-125.7,1103.5,146.1
253,10.12,2,forehand,0.735,13.88,82.1,1224.3,271.1
254,10.16,1,backhand,0.55,10.06,-168.0,837.1,132.9
254,10.16,8,forehand,0.55,17.53,148.35,820.7,549.9
268,10.72,2,forehand,0.55,9.02,157.29,1264.4,270.0
269,10.76,8,forehand,0.654,8.73,98.12,883.0,504.5
271,10.84,1,forehand,0.818,8.03,24.55,855.3,111.1
